Key,SourceString
"AddNumbers_Modes_0_DisplayName","Default"
"AddNumbers_Modes_0_Description","Default mode of this gate.\r\nAdds all inputs together."
"AddNumbers_Modes_1_DisplayName","Array"
"AddNumbers_Modes_1_Description","Array mode of this gate.\r\nHas a number array input, adds all array elements together."
"AddNumbers_Modes_2_DisplayName","Add to each array element"
"AddNumbers_Modes_2_Description","Has a number array input and value input.\r\nAdds a value to each element in the array and returns the modified array."
"AND_Gate_Modes_0_DisplayName","Default"
"AND_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if all connected inputs are true."
"AND_Gate_Modes_1_DisplayName","Array"
"AND_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if all array elements are true."
"AppendString_Modes_0_DisplayName","Join strings"
"AppendString_Modes_0_Description","Adds all input strings into one."
"AppendString_Modes_1_DisplayName","Join strings (Array mode)"
"AppendString_Modes_1_Description","Accepts a string array and a string separator. \r\nAdds all array elements together putting separator between them"
"BooleanSelect_Modes_0_DisplayName","IF ELSE"
"BooleanSelect_Modes_0_Description","Accepts a bool and 2 values of any type.\r\nWhen bool is false, returns first value.\r\nWhen bool is true, returns second value."
"BooleanSelect_Modes_1_DisplayName","Select"
"BooleanSelect_Modes_1_Description","Allows you to select one item out of a list. \r\nScales the input list when the last item in the list is connected."
"CircularInt_Modes_0_DisplayName","Circular IN"
"CircularInt_Modes_0_Description","Default mode of this gate.\r\nUses \""Circular IN\"" for interpolation"
"CircularInt_Modes_1_DisplayName","Circular IN-OUT"
"CircularInt_Modes_1_Description","Uses \""Circular IN-OUT\"" for interpolation"
"CircularInt_Modes_2_DisplayName","Circular OUT"
"CircularInt_Modes_2_Description","Uses \""Circular OUT\"" for interpolation"
"DivideNumbers_Modes_0_DisplayName","Default"
"DivideNumbers_Modes_0_Description","Default mode of this gate.\r\nDivides all connected inputs in ascending order"
"DivideNumbers_Modes_1_DisplayName","Array"
"DivideNumbers_Modes_1_Description","Array mode of this gate.\r\nHas a number array input, divides all array elements in order from first to last"
"DivideNumbers_Modes_2_DisplayName","Divide each array element"
"DivideNumbers_Modes_2_Description","Has a number array input and value input.\r\nDivides each array element by a value and returns a modified array"
"EaseInt_Modes_0_DisplayName","Ease IN"
"EaseInt_Modes_0_Description","Default mode of this gate.\r\nUses \""Ease IN\"" for interpolation"
"EaseInt_Modes_1_DisplayName","Ease IN-OUT"
"EaseInt_Modes_1_Description","Uses \""Ease IN-OUT\"" for interpolation"
"EaseInt_Modes_2_DisplayName","Ease OUT"
"EaseInt_Modes_2_Description","Uses \""Ease OUT\"" for interpolation"
"ExpoInt_Modes_0_DisplayName","Expo IN"
"ExpoInt_Modes_0_Description","Default mode of this gate.\r\nUses \""Expo IN\"" for interpolation"
"ExpoInt_Modes_1_DisplayName","Expo IN-OUT"
"ExpoInt_Modes_1_Description","Uses \""Expo IN-OUT\"" for interpolation"
"ExpoInt_Modes_2_DisplayName","Expo OUT"
"ExpoInt_Modes_2_Description","Uses \""Expo OUT\"" for interpolation"
"LerpColor_Modes_0_DisplayName","Lerp color"
"LerpColor_Modes_0_Description","Linearly interpolates the color from color A to color B based on Alpha."
"LerpColor_Modes_1_DisplayName","Lerp color array"
"LerpColor_Modes_1_Description","Linearly interpolates through an array of colors based on Alpha."
"MultiplyNumbers_Modes_0_DisplayName","Default"
"MultiplyNumbers_Modes_0_Description","Default mode of this gate.\r\nMultiplies all connected inputs together"
"MultiplyNumbers_Modes_1_DisplayName","Array"
"MultiplyNumbers_Modes_1_Description","Array mode of this gate.\r\nHas a number array input, multiplies all array elements together"
"MultiplyNumbers_Modes_2_DisplayName","Multiply each array element"
"MultiplyNumbers_Modes_2_Description","Has a number array input and value input.\r\nMultiplies each array element by a value and returns a modified array"
"NAND_Gate_Modes_0_DisplayName","Default"
"NAND_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if not all connected inputs are true."
"NAND_Gate_Modes_1_DisplayName","Array"
"NAND_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if not all array elements are true."
"NOR_Gate_Modes_0_DisplayName","Default"
"NOR_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if none of the connected inputs are true."
"NOR_Gate_Modes_1_DisplayName","Array"
"NOR_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if none of the array elements are true."
"NumberAverage_Modes_0_DisplayName","Default"
"NumberAverage_Modes_0_Description","Default mode of this gate.\r\nAdds all inputs together and divides the result by a number of connected inputs."
"NumberAverage_Modes_1_DisplayName","Array"
"NumberAverage_Modes_1_Description","Array mode of this gate.\r\nHas number array input, adds all array elements together and divides the result by element count."
"OR_Gate_Modes_0_DisplayName","Default"
"OR_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if any input is true."
"OR_Gate_Modes_1_DisplayName","Array"
"OR_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if any array element is true."
"SinInt_Modes_0_DisplayName","Sinusoidal IN"
"SinInt_Modes_0_Description","Default mode of this gate.\r\nUses \""Sinusoidal IN\"" for interpolation"
"SinInt_Modes_1_DisplayName","Sinusoidal IN-OUT"
"SinInt_Modes_1_Description","Uses \""Sinusoidal IN-OUT\"" for interpolation"
"SinInt_Modes_2_DisplayName","Sinusoidal OUT"
"SinInt_Modes_2_Description","Uses \""Sinusoidal OUT\"" for interpolation"
"Siren_Modes_0_DisplayName","Sound 1"
"Siren_Modes_0_Description","Sound 1 for alarm.\r\nAll sounds are credited on mod page!"
"Siren_Modes_1_DisplayName","Sound 2"
"Siren_Modes_1_Description","Sound 2 for alarm.\r\nAll sounds are credited on mod page!"
"Siren_Modes_2_DisplayName","Sound 3"
"Siren_Modes_2_Description","Sound 3 for alarm.\r\nAll sounds are credited on mod page!"
"StringCase_Modes_0_DisplayName","To lowercase"
"StringCase_Modes_0_Description","Converts string to lowercase.\r\nI.e. TEXT -> text; tExT -> text;"
"StringCase_Modes_1_DisplayName","To UPPERCASE"
"StringCase_Modes_1_Description","Converts string to uppercase.\r\nI.e. text -> TEXT; tExT -> TEXT;"
"StringCase_Modes_2_DisplayName","To Titlecase"
"StringCase_Modes_2_Description","Converts string to titlecase.\r\nI.e. text -> Text; tExT -> Text;"
"StringCase_Modes_3_DisplayName","To SaRcAsMcAsE"
"StringCase_Modes_3_Description","Why would you even need that"
"ToString_Modes_0_DisplayName","Convert any"
"ToString_Modes_0_Description",""
"ToString_Modes_1_DisplayName","Convert number"
"ToString_Modes_1_Description",""
"ToStringArray_Modes_0_DisplayName","Convert any array"
"ToStringArray_Modes_0_Description",""
"ToStringArray_Modes_1_DisplayName","Convert number array"
"ToStringArray_Modes_1_Description",""
"XNOR_Gate_Modes_0_DisplayName","Default"
"XNOR_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if an even number of inputs returned true."
"XNOR_Gate_Modes_1_DisplayName","Array"
"XNOR_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if an even number of array elements are true."
"XOR_Gate_Modes_0_DisplayName","Default"
"XOR_Gate_Modes_0_Description","Default mode of this gate.\r\nReturns true if an odd number of inputs returned true."
"XOR_Gate_Modes_1_DisplayName","Array"
"XOR_Gate_Modes_1_Description","Array mode of this gate.\r\nHas a bool array input, returns true if an odd number of array elements are true."
