Key,SourceString
"AbsoluteNumber_DisplayName","Absolute"
"AbsoluteNumber_Description","Returns absolute of input"
"ACosDeg_DisplayName","ACos (Degrees)"
"ACosDeg_Description","Returns arccos(Deg)"
"ACosRad_DisplayName","ACos (Radians)"
"ACosRad_Description","Returns arccos(Rad)"
"AddNumbers_DisplayName","Add"
"AddNumbers_Description","Adds all inputs together"
"AdjustableSlider_DisplayName","Slider"
"AdjustableSlider_Description","Slider with adjustable min and max values."
"AND_Gate_DisplayName","AND (All)"
"AND_Gate_Description","Returns true if all connected inputs are true"
"AppendString_DisplayName","Join strings"
"AppendString_Description","Adds all input strings into one."
"AppendStringArray_DisplayName","Join strings (Array type)"
"AppendStringArray_Description","Accepts a string array and a string separator. \r\nAdds all array elements together putting separator between them"
"ArrayAdd_DisplayName","Add element to array"
"ArrayAdd_Description","Adds a new element to the end of the array."
"ArrayGet_DisplayName","Get element from array"
"ArrayGet_Description","Accepts any array, outputs the element at specified index."
"ArrayInsert_DisplayName","Insert element in array"
"ArrayInsert_Description","Inserts element in the array at specified index.\r\nIndex must be valid for the gate to work."
"ArrayLength_DisplayName","Array Length"
"ArrayLength_Description","Returns length of an array."
"ArrayRemove_DisplayName","Remove element in array"
"ArrayRemove_Description","Removes element in the array at specified index."
"ArraySet_DisplayName","Set element in array"
"ArraySet_Description","Replaces element in the array at specified index."
"ASinDeg_DisplayName","ASin (Degrees)"
"ASinDeg_Description","Returns arcsin(Deg)"
"ASinRad_DisplayName","ASin (Radians)"
"ASinRad_Description","Returns arcsin(Rad)"
"ATan2Deg_DisplayName","Atan2 (Deg)"
"ATan2Deg_Description","Atan2(X,Y)"
"ATan2Rad_DisplayName","Atan2 (Rad)"
"ATan2Rad_Description","Atan2(X,Y)"
"ATanDeg_DisplayName","ATan (Degrees)"
"ATanDeg_Description","Returns arctan(Deg)"
"ATanRad_DisplayName","ATan (Radians)"
"ATanRad_Description","Returns arctan(Rad)"
"BoolArrToStringArr_DisplayName","Bool Array To String Array"
"BoolArrToStringArr_Description","Converts bool array input to a string array output"
"BooleanSelect_DisplayName","If-Else / Select one from list"
"BooleanSelect_Description","Allows to select from two or more values based on a value.\r\nI.e. if value is true then output one value, else output a different one.\r\n\r\nHas 2 modes: 2 values and scaling list."
"BoolPixel_DisplayName","Lightbulb"
